ACCT,BUDGET,COST TO DATE,COMMITMENTS,TIPO,REF,GEN_ACCT,Etapa,VARIANCE
3002-020,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3002-021,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
3002-022,28635.6,57263.6,0.0,Below the Line,Detalle,,2nd Unit,-28628.0
3002-023,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
3002-026,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3002-027,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
3002-028,28635.6,33405.97,0.0,Below the Line,Detalle,,2nd Unit,-4770.370000000003
3002-029,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
3002-032,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3002-033,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
3002-034,28635.6,31134.0,0.0,Below the Line,Detalle,,2nd Unit,-2498.4000000000015
3002-035,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
3003-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3003-003,6037.5,0.0,0.0,Below the Line,Detalle,,PREP,6037.5
3003-004,84525.0,84490.0,0.0,Below the Line,Detalle,,SHOOT,35.0
3003-005,6037.5,4023.32,0.0,Below the Line,Detalle,,WRAP,2014.1799999999998
3003-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3003-009,4887.5,3258.33,0.0,Below the Line,Detalle,,PREP,1629.17
3003-010,68425.0,68425.0,0.0,Below the Line,Detalle,,SHOOT,0.0
3003-011,4887.5,3258.33,0.0,Below the Line,Detalle,,WRAP,1629.17
3003-014,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3003-015,5175.0,3450.0,0.0,Below the Line,Detalle,,PREP,1725.0
3003-016,72450.0,72450.0,0.0,Below the Line,Detalle,,SHOOT,0.0
